posicion,etiqueta
01010010101,30557690101831001395
01010010102,30557690101831001379
01010010201,30557690101224001317
01010010202,30557690101224001290
01010010301,30557690101426001281
01010010302,30557690101426001237
01010010401,30557690100112001365
01010010402,30557690100112001028
01010010501,30557690101224001222
01010010502,30557690101224001203
01010010601,30557690101527001268
01010010602,30557690101527001053
01010010701,30557690100516001319
01010010702,30557690100516001248
01010010801,30557690101729001499
01010010802,30557690101729001303
01010020101,30557690101831001527
01010020102,30557690101831001441
01010020201,30557690101932001525
01010020202,30557690101932001387
01010020301,30557690100011001411
01010020302,30557690100011001315
01010020401,30557690101932001316
01010020402,30557690101932001254
01010020501,30557690101628001245
01010020502,30557690101628001206
01010020601,30557690101628001333
01010020602,30557690101628001257
01010020701,30557690100415001455
01010020702,30557690100415001324
01010020801,30557690101022001510
01010020802,30557690101022001389
01010030101,30557690100617082009
01010030102,30557690101527001625
01010030201,30557690100213001576
01010030202,30557690100213001488
01010030301,30557690100617001512
01010030302,30557690100617001394
01010030401,30557690100718001443
01010030402,30557690100718001342
01010030501,30557690100314001447
01010030502,30557690100314001289
01010030601,30557690100516001452
01010030602,30557690100516001346
01010030701,30557690101224001585
01010030702,30557690101224001405
01010030801,30557690100819001627
01010030802,30557690100819001554
01010040101,30557690101224080088
01010040102,30557690101325001716
01010040201,
01010040202,30557690101123001061
01010040301,
01010040302,30557690100718001581
01010040401,30557690101426001580
01010040402,30557690101426001413
01010040501,30557690101527001460
01010040502,30557690101527001356
01010040601,30557690101628001620
01010040602,30557690101628001426
01010040701,
01010040702,30557690100011001584
01010040801,30557690101831001694
01010040802,30557690101831001636
01010050101,30557690100112082926
01010050102,30557690101932080005
01010050201,30557690101123082653
01010050202,30557690100617081911
01010050301,
01010050302,30557690101932001646
01010050401,
01010050402,30557690100516001595
01010050501,30557690100112001483
01010050502,30557690100112001430
01010050601,30557690101022001662
01010050602,30557690101022001597
01010050701,30557690101831082133
01010050702,30557690100617001673
01010050801,
01010050802,30557690100718001130
01010060101,
01010060102,30557690101729081206
01010060201,30557690100921082555
01010060202,30557690101325082217
01010060301,
01010060302,
01010060401,30557690101831082242
01010060402,30557690100112001676
01010060501,30557690100314080903
01010060502,30557690100415001609
01010060601,
01010060602,30557690101729001680
01010060701,30557690100415081525
01010060702,
01010060801,
01010060802,30557690101426080341
01010070101,
01010070102,
01010070201,
01010070202,
01010070301,30557690101426082330
01010070302,30557690101123081113
01010070401,
01010070402,
01010070501,
01010070502,30557690100314001685
01010070601,30557690100011080794
01010070602,30557690101729082350
01010070701,
01010070702,
01010070801,
01010070802,30557690100819080584
01010080101,30557690101831080077
01010080102,
01010080201,
01010080202,30557690101527080537
01010080301,
01010080302,
01010080401,30557690101628082053
01010080402,
01010080501,
01010080502,
01010080601,
01010080602,30557690100617082132
01010080701,
01010080702,30557690101325080477
01010080801,
01010080802,
01010090101,30557690101426082222
01010090102,
01010090201,30557690101527080511
01010090202,30557690101022080190
01010090301,30557690100112080922
01010090302,
01010090401,
01010090402,30557690100617000995
01010090501,
01010090502,30557690100314080823
01010090601,
01010090602,30557690101426080329
01010090701,
01010090702,30557690101224080419
01010090801,
01010090802,30557690101628080181
01010100101,30557690101628080521
01010100102,30557690101426000904
01010100201,30557690100213082218
01010100202,30557690101123080284
01010100301,
01010100302,
01010100401,30557690101426081589
01010100402,30557690100415082190
01010100501,
01010100502,30557690101729082174
01010100601,30557690100415082699
01010100602,30557690101022082598
01010100701,
01010100702,30557690100213000900
01010100801,30557690101224080161
01010100802,30557690101022081520
01010110101,30557690100213081037
01010110102,30557690100112081367
01010110201,30557690101932081299
01010110202,30557690100011082812
01010110301,30557690100819080194
01010110302,30557690100213080763
01010110401,
01010110402,
01010110501,
01010110502,30557690101628081927
01010110601,30557690101325081761
01010110602,30557690100314082934
01010110701,30557690100617080915
01010110702,30557690100213081908
01010110801,
01010110802,30557690100921080925
01010120101,30557690101527080962
01010120102,
01010120201,30557690100011082307
01010120202,30557690100415082547
01010120301,30557690100112082748
01010120302,
01010120401,30557690101224081806
01010120402,
01010120501,
01010120502,30557690100213081989
01010120601,
01010120602,30557690100516080703
01010120701,
01010120702,
01010120801,30557690101022080360
01010120802,30557690101527081140
01010130101,30557690101224082394
01010130102,
01010130201,
01010130202,30557690101123000969
01010130301,
01010130302,30557690100819080619
01010130401,30557690100819081010
01010130402,30557690100718080901
01010130501,
01010130502,
01010130601,30557690101426082838
01010130602,
01010130701,
01010130702,30557690100213080431
01010130801,30557690101123081150
01010130802,
01010140101,
01010140102,
01010140201,30557690101831082388
01010140202,
01010140301,30557690100516081485
01010140302,
01010140401,30557690101325081681
01010140402,30557690100819081258
01010140501,
01010140502,30557690101325082496
01010140601,30557690100819080209
01010140602,
01010140701,30557690100617080423
01010140702,30557690100617080166
01010140801,30557690100011081597
01010140802,30557690101628081556
01010150101,
01010150102,
01010150201,30557690101729080008
01010150202,30557690101022001051
01010150301,30557690101022081725
01010150302,
01010150401,30557690101628082226
01010150402,30557690100415001055
01010150501,
01010150502,30557690101426081423
01010150601,30557690100921081323
01010150602,
01010150701,
01010150702,
01010150801,30557690100213082139
01010150802,30557690100314080639
01010160101,
01010160102,30557690100819080569
01010160201,30557690101628082852
01010160202,30557690101426001034
01010160301,
01010160302,30557690100921081430
01010160401,30557690100819081621
01010160402,
01010160501,
01010160502,30557690101729081213
01010160601,
01010160602,30557690101831080123
01010160701,
01010160702,30557690101123081278
01010160801,30557690101831080290
01010160802,30557690101932000952
01010170101,30557690101527081548
01010170102,
01010170201,
01010170202,
01010170301,
01010170302,30557690100011082526
01010170401,
01010170402,30557690100213081111
01010170501,30557690101123081395
01010170502,
01010170601,
01010170602,
01010170701,
01010170702,
01010170801,30557690101022080992
01010170802,30557690101325000868
01010180101,30557690101932080708
01010180102,
01010180201,30557690101932080577
01010180202,30557690101325080368
01010180301,30557690101224082176
01010180302,30557690101628082618
01010180401,
01010180402,30557690100213082177
01010180501,
01010180502,30557690101932082430
01010180601,30557690100516080310
01010180602,
01010180701,
01010180702,
01010180801,30557690100112080533
01010180802,30557690100819082801
01010190101,30557690100112080142
01010190102,30557690101123000908
01010190201,30557690101932081782
01010190202,
01010190301,
01010190302,
01010190401,30557690100718080644
01010190402,30557690100415080174
01010190501,
01010190502,30557690101932080295
01010190601,
01010190602,
01010190701,
01010190702,
01010190801,30557690101831082258
01010190802,
01010200101,
01010200102,30557690100819001060
01010200201,30557690100819080030
01010200202,
01010200301,
01010200302,
01010200401,30557690101022080339
01010200402,
01010200501,
01010200502,30557690101325080429
01010200601,
01010200602,30557690101022000945
01010200701,30557690100011081973
01010200702,30557690101527081655
01010200801,
01010200802,
01010210101,
01010210102,30557690100921001144
01010210201,30557690101628081079
01010210202,30557690100617000917
01010210301,30557690100213082742
01010210302,
01010210401,30557690101123081203
01010210402,
01010210501,
01010210502,
01010210601,30557690100819082916
01010210602,30557690101932080314
01010210701,
01010210702,
01010210801,30557690100516082773
01010210802,30557690100921080153
01010220101,
01010220102,30557690100617082826
01010220201,30557690101426080804
01010220202,
01010220301,
01010220302,
01010220401,
01010220402,
01010220501,
01010220502,
01010220601,
01010220602,30557690100617000875
01010220701,
01010220702,
01010220801,30557690100718082811
01010220802,
01010230101,30557690101224081713
01010230102,
01010230201,
01010230202,30557690101325080990
01010230301,
01010230302,30557690101224081841
01010230401,30557690100819080664
01010230402,
01010230501,30557690101426082474
01010230502,
01010230601,
01010230602,30557690101224082623
01010230701,
01010230702,30557690101426081537
01010230801,
01010230802,30557690101932080571
01010240101,
01010240102,
01010240201,30557690100921081327
01010240202,
01010240301,30557690101527081428
01010240302,30557690101932081952
01010240401,30557690101426080686
01010240402,30557690101426081522
01010240501,
01010240502,30557690100112082267
01010240601,30557690101527081268
01010240602,30557690101831080876
01010240701,
01010240702,
01010240801,30557690101426080704
01010240802,30557690101123001191
01010250101,
01010250102,
01010250201,
01010250202,
01010250301,
01010250302,
01010250401,
01010250402,
01010250501,
01010250502,
01010250601,30557690100819082813
01010250602,
01010250701,
01010250702,30557690100921080756
01010250801,
01010250802,30557690100112081459
01010260101,
01010260102,30557690101325081703
01010260201,
01010260202,30557690100516081194
01010260301,
01010260302,
01010260401,
01010260402,
01010260501,
01010260502,30557690101123001078
01010260601,
01010260602,
01010260701,30557690101123080857
01010260702,
01010260801,
01010260802,30557690100213080001
01010270101,30557690100213080694
01010270102,
01010270201,
01010270202,30557690100314082248
01010270301,30557690101325080886
01010270302,30557690101932080997
01010270401,30557690100314080359
01010270402,30557690100112082543
01010270501,
01010270502,
01010270601,
01010270602,30557690100314081387
01010270701,30557690101729081287
01010270702,30557690100921001037
01010270801,30557690100213080324
01010270802,
01010280101,
01010280102,
01010280201,
01010280202,
01010280301,
01010280302,
01010280401,30557690101628081272
01010280402,30557690100314080675
01010280501,
01010280502,30557690101628080904
01010280601,
01010280602,30557690101022080156
01010280701,
01010280702,
01010280801,
01010280802,
01010290101,30557690101325082772
01010290102,30557690100415082235
01010290201,
01010290202,30557690101831000924
01010290301,
01010290302,30557690100415001139
01010290401,
01010290402,30557690101831082131
01010290501,
01010290502,30557690101628081382
01010290601,
01010290602,30557690100516082127
