posicion,etiqueta
01010010101,30557690101831001395
01010010102,30557690101831001379
01010010201,30557690101224001317
01010010202,30557690101224001290
01010010301,30557690101426001281
01010010302,30557690101426001237
01010010401,30557690100112001365
01010010402,30557690100112001028
01010010501,30557690101224001222
01010010502,30557690101224001203
01010010601,30557690101527001268
01010010602,30557690101527001053
01010010701,30557690100516001319
01010010702,30557690100516001248
01010010801,30557690101729001499
01010010802,30557690101729001303
01010020101,30557690101831001527
01010020102,30557690101831001441
01010020201,30557690101932001525
01010020202,30557690101932001387
01010020301,30557690100011001411
01010020302,30557690100011001315
01010020401,30557690101932001316
01010020402,30557690101932001254
01010020501,30557690101628001245
01010020502,30557690101628001206
01010020601,30557690101628001333
01010020602,30557690101628001257
01010020701,30557690100415001455
01010020702,30557690100415001324
01010020801,30557690101022001510
01010020802,30557690101022001389
01010030101,30557690101325084825
01010030102,30557690101527001625
01010030201,30557690100213001576
01010030202,30557690100213001488
01010030301,30557690100617001512
01010030302,30557690100617001394
01010030401,30557690100718001443
01010030402,30557690100718001342
01010030501,30557690100314001447
01010030502,30557690100314001289
01010030601,30557690100516001452
01010030602,30557690100516001346
01010030701,30557690101224001585
01010030702,30557690101224001405
01010030801,30557690100819001627
01010030802,30557690100819001554
01010040101,30557690100617082537
01010040102,30557690101325001716
01010040201,30557690100314082387
01010040202,30557690101123001061
01010040301,30557690101325083369
01010040302,30557690100718001581
01010040401,30557690101426001580
01010040402,30557690101426001413
01010040501,30557690101527001460
01010040502,30557690101527001356
01010040601,30557690101628001620
01010040602,30557690101628001426
01010040701,30557690101426085509
01010040702,30557690100011001584
01010040801,30557690101831001694
01010040802,30557690101831001636
01010050101,30557690101527085685
01010050102,30557690100314081197
01010050201,30557690100516082586
01010050202,30557690101628082277
01010050301,30557690100415083060
01010050302,30557690101932001646
01010050401,30557690100112085846
01010050402,30557690100516001595
01010050501,30557690100112001483
01010050502,30557690100112001430
01010050601,30557690101022001662
01010050602,30557690101022001597
01010050701,30557690101426081378
01010050702,30557690100617001673
01010050801,30557690101932081069
01010050802,30557690100718001130
01010060101,30557690100314080765
01010060102,30557690101123085887
01010060201,30557690101831080082
01010060202,30557690101325081772
01010060301,30557690100617085517
01010060302,30557690100314084895
01010060401,30557690101628081121
01010060402,30557690100112001676
01010060501,
01010060502,30557690100415001609
01010060601,30557690101224085409
01010060602,30557690101729001680
01010060701,30557690100213080923
01010060702,30557690101022080070
01010060801,30557690101628084863
01010060802,30557690101932080348
01010070101,30557690100718081319
01010070102,30557690100516081320
01010070201,30557690100617082726
01010070202,30557690100617081159
01010070301,30557690101831083343
01010070302,30557690101224084328
01010070401,30557690101831084618
01010070402,30557690100819083375
01010070501,30557690101628082321
01010070502,30557690100314001685
01010070601,30557690101022080460
01010070602,30557690100213083570
01010070701,30557690101426080231
01010070702,30557690101932080071
01010070801,30557690100819085297
01010070802,30557690101123081259
01010080101,30557690101325081728
01010080102,30557690101729083620
01010080201,30557690101123080995
01010080202,30557690100921084723
01010080301,30557690100516084291
01010080302,30557690101426081890
01010080401,30557690100921085370
01010080402,30557690101325083572
01010080501,30557690101527081547
01010080502,
01010080601,30557690100314083858
01010080602,30557690101426082359
01010080701,30557690100112082018
01010080702,30557690101224083730
01010080801,30557690100011083004
01010080802,30557690100213081383
01010090101,
01010090102,30557690100617081961
01010090201,30557690100011085926
01010090202,30557690100314082772
01010090301,30557690100011082160
01010090302,
01010090401,30557690101426080924
01010090402,30557690100617000995
01010090501,30557690100819081938
01010090502,30557690100921085096
01010090601,30557690100011083879
01010090602,30557690101729083805
01010090701,30557690101325082449
01010090702,30557690100314081478
01010090801,30557690100011080282
01010090802,30557690101932082108
01010100101,30557690100112080557
01010100102,30557690101426000904
01010100201,
01010100202,
01010100301,30557690100516083834
01010100302,30557690101325080642
01010100401,30557690100415080508
01010100402,30557690100415082476
01010100501,30557690101932082908
01010100502,30557690101325082976
01010100601,
01010100602,30557690101325084074
01010100701,
01010100702,30557690100213000900
01010100801,30557690100415080411
01010100802,
01010110101,30557690101628082103
01010110102,30557690101426084722
01010110201,30557690100415085743
01010110202,
01010110301,
01010110302,30557690101224085747
01010110401,30557690100516082524
01010110402,
01010110501,30557690100415081488
01010110502,30557690101426082423
01010110601,30557690100819084305
01010110602,30557690100718083625
01010110701,30557690101123082793
01010110702,30557690100213083283
01010110801,30557690100617082997
01010110802,30557690100213085640
01010120101,30557690100415085853
01010120102,30557690101325082639
01010120201,30557690100819080903
01010120202,30557690101628081757
01010120301,30557690101729084551
01010120302,
01010120401,30557690101022082612
01010120402,30557690100718083299
01010120501,30557690101325083659
01010120502,30557690100516081424
01010120601,30557690101527080638
01010120602,30557690100819082550
01010120701,30557690100314081722
01010120702,30557690100718085894
01010120801,30557690101123084882
01010120802,30557690100011084395
01010130101,30557690101123082327
01010130102,
01010130201,
01010130202,30557690101123000969
01010130301,30557690101527081549
01010130302,30557690100516080416
01010130401,30557690101325084234
01010130402,30557690101729082101
01010130501,30557690101932085770
01010130502,30557690100213085112
01010130601,30557690101729082202
01010130602,30557690100921083713
01010130701,30557690101123081570
01010130702,30557690101932080869
01010130801,30557690101325083517
01010130802,30557690100314083348
01010140101,30557690101729085837
01010140102,30557690101022081497
01010140201,30557690100011082561
01010140202,30557690100617085943
01010140301,
01010140302,30557690101426083012
01010140401,
01010140402,30557690100921085622
01010140501,30557690100819080953
01010140502,30557690100112085410
01010140601,30557690101426080284
01010140602,30557690100819080740
01010140701,30557690100617081318
01010140702,30557690101527080431
01010140801,30557690101224082183
01010140802,30557690100112084919
01010150101,30557690100415082674
01010150102,30557690101628085091
01010150201,30557690100011085441
01010150202,30557690101022001051
01010150301,30557690100819085132
01010150302,30557690101325080922
01010150401,30557690100314085731
01010150402,30557690100415001055
01010150501,30557690101831081661
01010150502,
01010150601,30557690101527084762
01010150602,
01010150701,30557690101729085172
01010150702,30557690100314085311
01010150801,30557690101022080044
01010150802,
01010160101,
01010160102,30557690101426085692
01010160201,30557690100921085338
01010160202,30557690101426001034
01010160301,30557690101628083102
01010160302,30557690101325081226
01010160401,
01010160402,30557690100213082854
01010160501,30557690101224085514
01010160502,30557690101932081211
01010160601,30557690101426082554
01010160602,30557690100516080204
01010160701,30557690100617080210
01010160702,30557690101729081852
01010160801,30557690101932085816
01010160802,30557690101932000952
01010170101,30557690100112081149
01010170102,30557690100921085437
01010170201,30557690101022084117
01010170202,30557690100112083511
01010170301,30557690100011085527
01010170302,30557690100112082424
01010170401,
01010170402,
01010170501,30557690101123082822
01010170502,30557690100718085505
01010170601,30557690100819085657
01010170602,
01010170701,30557690101932082882
01010170702,30557690101224083815
01010170801,30557690100718083200
01010170802,30557690101325000868
01010180101,30557690101729085257
01010180102,30557690101224081429
01010180201,
01010180202,30557690101729083877
01010180301,30557690100819080996
01010180302,30557690100314081978
01010180401,30557690101426083897
01010180402,30557690100921080290
01010180501,30557690101729085886
01010180502,30557690101022083520
01010180601,30557690100314080208
01010180602,
01010180701,30557690100516083432
01010180702,30557690101123081354
01010180801,30557690100718083984
01010180802,30557690101628080340
01010190101,30557690101022085408
01010190102,30557690101123000908
01010190201,30557690101123080975
01010190202,
01010190301,30557690100718084822
01010190302,30557690101932085947
01010190401,30557690100213083865
01010190402,30557690101123080481
01010190501,30557690101224083770
01010190502,
01010190601,30557690100819081796
01010190602,30557690100011084203
01010190701,30557690101123083610
01010190702,30557690101527082010
01010190801,30557690101426085607
01010190802,
01010200101,30557690100718081510
01010200102,30557690100819001060
01010200201,30557690100415081199
01010200202,30557690101527080433
01010200301,30557690100314081571
01010200302,30557690100011085890
01010200401,30557690101527080437
01010200402,30557690100213085988
01010200501,30557690100011083962
01010200502,30557690101022080536
01010200601,30557690100112080943
01010200602,30557690101022000945
01010200701,30557690101831082585
01010200702,30557690100011081813
01010200801,
01010200802,30557690100516082307
01010210101,30557690101628084595
01010210102,30557690100921001144
01010210201,30557690101224080870
01010210202,30557690100617000917
01010210301,30557690100617085046
01010210302,30557690101224081018
01010210401,30557690101325085531
01010210402,30557690100213082261
01010210501,30557690101022083332
01010210502,30557690100617083906
01010210601,30557690101426083256
01010210602,30557690101831080874
01010210701,30557690100213081174
01010210702,
01010210801,30557690101932080285
01010210802,30557690100921085711
01010220101,30557690101426083280
01010220102,30557690101932080387
01010220201,30557690100617083881
01010220202,30557690101426082681
01010220301,30557690101022085668
01010220302,30557690100415081765
01010220401,30557690101123082804
01010220402,30557690101325080930
01010220501,30557690100617085553
01010220502,30557690100718082240
01010220601,30557690100617085879
01010220602,30557690100617000875
01010220701,30557690101123085340
01010220702,30557690100112086006
01010220801,30557690100415083497
01010220802,
01010230101,
01010230102,30557690101932080400
01010230201,30557690101527081183
01010230202,30557690101831085850
01010230301,30557690100213080512
01010230302,30557690101932083698
01010230401,30557690101426085805
01010230402,
01010230501,30557690101325080410
01010230502,30557690101729085466
01010230601,30557690100415085696
01010230602,30557690100112082829
01010230701,30557690100213083254
01010230702,30557690100718085548
01010230801,30557690100415080799
01010230802,30557690101325085556
01010240101,30557690100516080287
01010240102,30557690100617083687
01010240201,30557690101022084349
01010240202,30557690100011082474
01010240301,30557690101022084000
01010240302,30557690100314081602
