posicion,etiqueta
01010010101,30557690101831001395
01010010102,30557690101831001379
01010010201,30557690101224001317
01010010202,30557690101224001290
01010010301,30557690101426001281
01010010302,30557690101426001237
01010010401,30557690100112001365
01010010402,30557690100112001028
01010010501,30557690101224001222
01010010502,30557690101224001203
01010010601,30557690101527001268
01010010602,30557690101527001053
01010010701,30557690100516001319
01010010702,30557690100516001248
01010010801,30557690101729001499
01010010802,30557690101729001303
01010020101,30557690101831001527
01010020102,30557690101831001441
01010020201,30557690101932001525
01010020202,30557690101932001387
01010020301,30557690100011001411
01010020302,30557690100011001315
01010020401,30557690101932001316
01010020402,30557690101932001254
01010020501,30557690101628001245
01010020502,30557690101628001206
01010020601,30557690101628001333
01010020602,30557690101628001257
01010020701,30557690100415001455
01010020702,30557690100415001324
01010020801,30557690101022001510
01010020802,30557690101022001389
01010030101,30100280000003600029
01010030102,30557690101527001625
01010030201,30557690100213001576
01010030202,30557690100213001488
01010030301,30557690100617001512
01010030302,30557690100617001394
01010030401,30557690100718001443
01010030402,30557690100718001342
01010030501,30557690100314001447
01010030502,30557690100314001289
01010030601,30557690100516001452
01010030602,30557690100516001346
01010030701,30557690101224001585
01010030702,30557690101224001405
01010030801,30557690100819001627
01010030802,30557690100819001554
01010040101,30100280000004600005
01010040102,30557690101325001716
01010040201,30100280000000500031
01010040202,30557690101123001061
01010040301,30100280000006800010
01010040302,30557690100718001581
01010040401,30557690101426001580
01010040402,30557690101426001413
01010040501,30557690101527001460
01010040502,30557690101527001356
01010040601,30557690101628001620
01010040602,30557690101628001426
01010040701,
01010040702,30557690100011001584
01010040801,30557690101831001694
01010040802,30557690101831001636
01010050101,30100280000003600014
01010050102,30100280000001400028
01010050201,30100280000003600052
01010050202,30100280000003700026
01010050301,30100280000001900019
01010050302,30557690101932001646
01010050401,30100280000006100033
01010050402,30557690100516001595
01010050501,30557690100112001483
01010050502,30557690100112001430
01010050601,30557690101022001662
01010050602,30557690101022001597
01010050701,
01010050702,30557690100617001673
01010050801,30100280000007800063
01010050802,30557690100718001130
01010060101,30100280000007800055
01010060102,30100280000003400048
01010060201,30100280000000600056
01010060202,30100280000002300051
01010060301,30100280000002700025
01010060302,30100280000003300025
01010060401,30100280000007900044
01010060402,30557690100112001676
01010060501,30100280000004900023
01010060502,30557690100415001609
01010060601,30100280000001200031
01010060602,30557690101729001680
01010060701,30100280000008000022
01010060702,30100280000006600011
01010060801,30100280000007800072
01010060802,30100280000003900067
01010070101,30100280000005400006
01010070102,30100280000005000059
01010070201,30100280000006900067
01010070202,30100280000000600009
01010070301,30100280000004000029
01010070302,30100280000004900044
01010070401,30100280000007800070
01010070402,
01010070501,30100280000002400026
01010070502,30557690100314001685
01010070601,30100280000000100007
01010070602,30100280000001700035
01010070701,30100280000006600043
01010070702,
01010070801,30100280000003500055
01010070802,
01010080101,30100280000002300072
01010080102,30100280000007800026
01010080201,30100280000007200014
01010080202,
01010080301,
01010080302,
01010080401,30100280000003100009
01010080402,30100280000003200023
01010080501,30100280000002900032
01010080502,30100280000002600068
01010080601,30100280000003500015
01010080602,30100280000005500016
01010080701,30100280000006800033
01010080702,30100280000007100037
01010080801,30100280000003000036
01010080802,30100280000006200054
01010090101,30100280000002800042
01010090102,30100280000006500001
01010090201,30100280000000300030
01010090202,
01010090301,30100280000003500021
01010090302,30100280000002400062
01010090401,
01010090402,30557690100617000995
01010090501,30100280000002300010
01010090502,30100280000000600045
01010090601,30100280000003200031
01010090602,30100280000007400006
01010090701,30100280000002600073
01010090702,30100280000005500055
01010090801,30100280000002200043
01010090802,30100280000004500001
01010100101,30100280000005700053
01010100102,30557690101426000904
01010100201,30100280000003600027
01010100202,
01010100301,30100280000005800054
01010100302,30100280000003200067
01010100401,30100280000006900029
01010100402,30100280000004900062
01010100501,30100280000003500057
01010100502,30100280000004000055
01010100601,30100280000003000065
01010100602,30100280000001800002
01010100701,30100280000003900001
01010100702,30557690100213000900
01010100801,30100280000006800021
01010100802,30100280000006500065
01010110101,30100280000006700013
01010110102,30100280000008000033
01010110201,30100280000007400017
01010110202,30100280000001400037
01010110301,30100280000003300047
01010110302,30100280000007200026
01010110401,30100280000002400055
01010110402,30100280000003000035
01010110501,30100280000002100047
01010110502,30100280000002400042
01010110601,30100280000003600004
01010110602,30100280000008000072
01010110701,30100280000001900044
01010110702,30100280000002800030
01010110801,30100280000003000054
01010110802,30100280000005000057
01010120101,
01010120102,
01010120201,30100280000000100039
01010120202,30100280000005600064
01010120301,30100280000000800009
01010120302,30100280000002800068
01010120401,30100280000000400042
01010120402,30100280000001000074
01010120501,
01010120502,30100280000001000010
01010120601,30100280000003400036
01010120602,30100280000005900052
01010120701,30100280000003400033
01010120702,30100280000005600034
01010120801,
01010120802,30100280000004400014
01010130101,30100280000005900058
01010130102,30100280000002900066
01010130201,30100280000005200054
01010130202,30557690101123000969
01010130301,30100280000002200008
01010130302,30100280000000400007
01010130401,30100280000001000008
01010130402,30100280000007500035
01010130501,30100280000000200030
01010130502,
01010130601,30100280000001700060
01010130602,30100280000007600038
01010130701,
01010130702,
01010130801,30100280000007600048
01010130802,30100280000003700015
01010140101,30100280000005200038
01010140102,30100280000005100012
01010140201,30100280000000800036
01010140202,30100280000008000055
01010140301,30100280000004500065
01010140302,30100280000005300012
01010140401,30100280000003000021
01010140402,30100280000007900013
01010140501,
01010140502,30100280000004600006
01010140601,30100280000006200022
01010140602,30100280000002600046
01010140701,30100280000005700036
01010140702,30100280000001500007
01010140801,30100280000005700049
01010140802,30100280000006000005
01010150101,30100280000000500074
01010150102,30100280000001900022
01010150201,
01010150202,30557690101022001051
01010150301,30100280000000600052
01010150302,30100280000002800021
01010150401,30100280000005800068
01010150402,30557690100415001055
01010150501,30100280000005600005
01010150502,30100280000004000021
01010150601,30100280000005600069
01010150602,30100280000004300061
01010150701,30100280000004600070
01010150702,30100280000001800067
01010150801,
01010150802,30100280000002400075
01010160101,30100280000007100017
01010160102,30100280000004500018
01010160201,30100280000002400048
01010160202,30557690101426001034
01010160301,
01010160302,30100280000005000042
01010160401,30100280000003500068
01010160402,30100280000004800072
01010160501,
01010160502,30100280000002900037
01010160601,30100280000000200060
01010160602,30100280000007100022
01010160701,30100280000005500026
01010160702,30100280000001700009
01010160801,30100280000006600039
01010160802,30557690101932000952
01010170101,
01010170102,30100280000003100029
01010170201,30100280000001800051
01010170202,30100280000006600052
01010170301,30100280000000500012
01010170302,30100280000006000065
01010170401,30100280000000500063
01010170402,30100280000000200002
01010170501,30100280000007200073
01010170502,30100280000004100009
01010170601,30100280000006300032
01010170602,30100280000006400031
01010170701,30100280000000500058
01010170702,30100280000001000005
01010170801,30100280000004800043
01010170802,30557690101325000868
01010180101,30100280000008000041
01010180102,30100280000005000026
01010180201,30100280000002200027
01010180202,30100280000003000051
01010180301,30100280000007500027
01010180302,30100280000005900047
01010180401,30100280000004600044
01010180402,30100280000001200071
01010180501,30100280000003600050
01010180502,30100280000002400074
01010180601,30100280000005800041
01010180602,30100280000007600002
01010180701,30100280000004500011
01010180702,30100280000002800037
01010180801,
01010180802,30100280000003500059
01010190101,30100280000004500066
01010190102,30557690101123000908
01010190201,30100280000001900001
01010190202,30100280000002200007
01010190301,
01010190302,30100280000004600013
01010190401,30100280000007700005
01010190402,30100280000003400063
01010190501,30100280000005200049
01010190502,30100280000002300063
01010190601,30100280000000200024
01010190602,30100280000005300057
01010190701,
01010190702,30100280000006200023
01010190801,30100280000005600014
01010190802,30100280000004800045
01010200101,30100280000001400019
01010200102,30557690100819001060
01010200201,30100280000000500057
01010200202,30100280000003900010
01010200301,30100280000002500038
01010200302,30100280000001400024
01010200401,30100280000002700064
01010200402,30100280000005200051
01010200501,30100280000004800040
01010200502,30100280000002600039
01010200601,30100280000000100055
01010200602,30557690101022000945
01010200701,
01010200702,30100280000006300042
01010200801,
01010200802,30100280000001900054
01010210101,30100280000004900022
01010210102,30557690100921001144
01010210201,30100280000000100011
01010210202,30557690100617000917
01010210301,30100280000000400033
01010210302,30100280000005700033
01010210401,30100280000001300021
01010210402,30100280000003100019
01010210501,30100280000000300054
01010210502,30100280000002500020
01010210601,30100280000000900048
01010210602,30100280000003400004
01010210701,30100280000002100025
01010210702,30100280000003200070
01010210801,30100280000004300048
01010210802,30100280000004900074
01010220101,
01010220102,30100280000003100075
01010220201,
01010220202,30100280000003900064
01010220301,30100280000005800033
01010220302,30100280000005600052
01010220401,
01010220402,30100280000004800039
01010220501,30100280000006900042
01010220502,30100280000008000026
01010220601,
01010220602,30557690100617000875
01010220701,30100280000007400023
01010220702,30100280000007900004
01010220801,30100280000006100021
01010220802,30100280000004600026
01010230101,30100280000001500075
01010230102,30100280000007400067
01010230201,30100280000003900026
01010230202,30100280000003000003
01010230301,
01010230302,30100280000004400020
01010230401,30100280000007200074
01010230402,30100280000004600019
01010230501,
01010230502,30100280000003700053
01010230601,30100280000001300046
01010230602,30100280000005100070
01010230701,30100280000005100057
01010230702,30100280000001400071
01010230801,
01010230802,30100280000006700044
01010240101,30100280000004600027
01010240102,
01010240201,30100280000006300050
01010240202,
01010240301,30100280000007300010
01010240302,30100280000003800028
01010240401,30100280000000100035
